farm_id,KEY,median_height_2020,std_2020,pixel_count_2020,median_height_2021,std_2021,pixel_count_2021,median_height_2022,std_2022,pixel_count_2022,median_height_2023,std_2023,pixel_count_2023,median_height_2024,std_2024,pixel_count_2024,median_height_2025,std_2025,pixel_count_2025
Farm_0,30063,3.53,2.71,38,3.69,2.05,38,5.66,1.67,38,8.67,2.43,38,7.7,1.41,38,13.62,1.05,38
Farm_1,29955,0.18,0.29,14,0.33,0.53,18,0.48,0.67,18,1.93,1.5,18,4.61,2.75,18,3.28,2.22,18
Farm_10,24177,0.29,1.03,41,0.45,0.76,47,0.84,0.62,48,1.18,0.56,48,6.87,1.27,48,4.15,1.15,48
Farm_11,23722,0.31,0.42,206,0.8,0.59,211,1.17,0.55,211,1.77,1.3,211,4.92,1.51,211,5.32,1.3,211
Farm_12,23711,0.37,3.11,84,0.38,0.84,87,1.1,1.14,91,0.83,1.52,91,1.74,1.43,91,1.85,1.79,91
Farm_13,22978,1.95,1.31,173,0.65,0.65,163,0.62,1.14,172,7.45,2.19,173,9.54,1.95,173,2.03,1.08,173
Farm_14,22439,0.08,0.24,25,0.08,0.19,28,0.73,0.86,33,0.86,0.47,33,5.79,2.3,33,4.85,1.05,33
Farm_15,22157,0.72,1.33,84,0.95,0.4,84,0.49,0.28,84,1.24,0.87,84,3.66,1.26,84,4.16,1.63,84
Farm_16,21855,0.67,0.76,178,1.08,0.64,200,1.78,1.07,209,0.93,1.05,203,1.54,1.35,209,1.06,1.19,209
Farm_17,21805,0.39,1.88,61,2.22,0.93,62,1.89,1.49,62,0.88,0.77,62,2.38,0.93,62,1.14,0.59,62
Farm_18,22308,0.46,0.14,16,0.41,0.31,13,0.26,0.33,16,1.93,1.05,16,4.92,0.85,16,5.95,1.15,16
Farm_19,22286,0.38,0.77,50,1.09,0.66,63,2.19,0.94,63,5.0,1.03,63,5.94,0.93,63,5.68,1.2,63
Farm_2,29242,1.76,0.76,85,1.72,0.69,85,3.29,1.2,85,1.73,0.95,85,2.86,1.28,85,3.98,1.27,85
Farm_20,20877,0.68,1.05,54,0.83,0.4,76,1.16,1.0,76,1.26,1.03,76,5.54,1.25,76,2.04,0.76,76
Farm_21,25408,0.13,0.19,40,0.39,0.37,49,1.29,0.53,49,4.39,0.78,49,8.95,0.79,49,10.81,0.63,49
Farm_22,21700,0.55,0.74,82,0.93,0.58,84,1.09,0.65,84,2.66,0.95,84,6.14,1.94,84,5.25,1.36,84
Farm_23,26539,0.8,1.08,40,0.29,1.67,38,1.19,2.1,40,1.57,2.74,41,6.0,2.49,41,2.54,2.51,41
Farm_24,20819,0.72,0.31,26,3.58,1.49,28,0.83,0.66,28,3.12,1.35,28,4.65,2.14,28,4.49,1.63,28
Farm_25,23263,2.78,1.16,159,0.56,0.92,156,1.3,1.16,154,2.61,1.52,160,6.73,1.52,160,6.4,1.66,160
Farm_26,24083,0.78,1.36,292,0.83,1.0,311,1.99,1.27,308,1.0,1.49,301,4.25,2.14,311,4.76,2.41,310
Farm_27,25609,2.01,1.98,25,1.42,1.46,25,6.06,1.23,25,7.02,2.26,25,6.85,2.25,25,9.14,3.15,25
Farm_28,30042,0.78,0.91,127,3.78,2.26,127,3.92,1.73,127,5.98,2.2,127,6.34,2.13,127,3.05,1.48,127
Farm_29,30094,1.99,1.5,133,1.79,1.77,133,2.89,1.82,133,3.05,1.95,133,8.47,3.57,133,3.74,1.4,133
Farm_3,29103,0.53,0.22,61,0.53,0.62,66,0.71,0.45,66,1.92,0.57,66,5.35,0.54,66,5.61,0.42,66
Farm_30,22827,0.17,0.5,54,1.32,0.59,57,1.56,0.47,57,5.63,2.71,57,0.73,0.51,51,0.07,0.06,47
Farm_31,21313,1.31,0.49,27,1.31,0.42,27,1.42,1.31,26,1.38,0.54,27,5.38,2.63,27,3.84,1.88,27
Farm_4,29010,0.93,1.07,25,0.88,1.43,23,1.73,2.27,25,1.0,2.51,25,2.28,2.19,25,2.4,1.68,25
Farm_5,28989,1.77,1.26,59,2.39,0.62,59,0.56,0.49,57,5.03,1.86,59,4.72,1.0,59,4.69,0.79,59
Farm_6,28013,0.55,0.45,27,0.43,0.66,27,0.17,0.12,25,0.64,0.29,27,4.71,1.53,27,4.44,1.28,27
Farm_7,27990,1.25,1.36,259,1.42,1.19,255,3.69,1.32,259,2.99,1.53,259,6.01,1.88,259,3.42,1.35,259
Farm_8,27814,0.09,0.08,9,1.64,0.09,19,0.19,0.06,19,0.69,0.47,19,3.39,0.19,19,2.92,0.44,19
Farm_9,26994,0.85,1.08,46,5.98,2.48,46,3.22,2.06,46,8.14,3.02,46,7.72,2.51,46,10.81,3.26,46
